ClaimID,PolicyID,AccidentDate,ReportedDate,PaymentDate,ClaimStatus,PaidAmount,IncurredAmount
CLM-TZ-1000,POL-MOT-5042,2021-03-31,2021-06-10,2021-07-16,Closed,163000.0,186000.0
CLM-TZ-1001,POL-MOT-5145,2024-09-14,2024-10-30,2025-03-19,Closed,19598000.0,24429000.0
CLM-TZ-1002,POL-MOT-5101,2023-05-23,2023-06-14,2024-06-19,Closed,494000.0,562000.0
CLM-TZ-1003,POL-MOT-5048,2022-08-04,2022-11-12,2023-07-07,Closed,383000.0,424000.0
CLM-TZ-1004,POL-MOT-5103,2019-12-08,2020-02-15,2020-12-06,Closed,5513000.0,6330000.0
CLM-TZ-1005,POL-MOT-5028,2019-12-08,2019-12-18,2020-06-28,Open,22743000.0,28394000.0
CLM-TZ-1006,POL-MOT-5041,2019-05-08,2019-09-30,2020-04-29,Closed,7915000.0,8711000.0
CLM-TZ-1007,POL-MOT-5099,2024-03-12,2024-06-23,2025-05-29,Open,3485000.0,3667000.0
CLM-TZ-1008,POL-MOT-5047,2022-08-10,2023-02-05,2023-03-28,Closed,3594000.0,4362000.0
CLM-TZ-1009,POL-MOT-5146,2023-04-01,2023-06-17,2023-10-15,Open,4655000.0,5808000.0
CLM-TZ-1010,POL-MOT-5105,2019-02-15,2019-04-13,2019-05-28,Closed,4235000.0,4363000.0
CLM-TZ-1011,POL-MOT-5124,2024-10-26,2024-11-27,2027-01-27,Open,2627000.0,2816000.0
CLM-TZ-1012,POL-MOT-5199,2023-12-29,2024-06-07,2025-11-08,Closed,2201000.0,2295000.0
CLM-TZ-1013,POL-MOT-5013,2020-04-10,2020-08-08,2020-08-15,Closed,1862000.0,2056000.0
CLM-TZ-1014,POL-MOT-5141,2020-02-03,2020-02-05,2020-09-12,Closed,933000.0,1059000.0
CLM-TZ-1015,POL-MOT-5100,2020-02-06,2020-02-07,2021-05-18,Closed,1498000.0,1835000.0
CLM-TZ-1016,POL-MOT-5031,2020-10-28,2020-11-25,2020-12-30,Closed,365000.0,436000.0
CLM-TZ-1017,POL-MOT-5130,2022-02-23,2022-06-02,2022-10-31,Closed,1797000.0,2132000.0
CLM-TZ-1018,POL-MOT-5016,2021-08-04,2022-04-22,2023-07-10,Closed,738000.0,816000.0
CLM-TZ-1019,POL-MOT-5137,2020-09-30,2020-10-09,2020-10-15,Closed,658000.0,824000.0
CLM-TZ-1020,POL-MOT-5073,2022-09-02,2022-10-26,2023-05-29,Closed,2374000.0,2710000.0
